配方                                                       清除率         全清      s/源      移动m      检测     扫描s     收尾s
ring_spec=((0, 1), (1200.0, 7), (1700.0, 8))          0.9899   878/1000    427.1    19560   221.5       0       0
ring_spec=((0, 1), (1250.0, 8), (1700.0, 9))          0.9927   911/1000    437.0    19672   241.9       0       0
ring_spec=((0, 1), (1100.0, 6), (1750.0, 10))         0.9968   960/1000    447.2    20946   225.4       0       0
ring_spec=((0, 1), (1300.0, 9))                       0.9484   502/1000    379.7    17291   165.2       0       0
ring_spec=((0, 1), (1100.0, 6), (1550.0, 6))          0.9631   611/1000    393.0    17567   192.6       0       0
ring_spec=((0, 1), (1400.0, 10))                      0.9610   592/1000    398.6    18297   179.4       0       0
ring_spec=((0, 1), (1200.0, 6), (1600.0, 7))          0.9773   740/1000    403.5    18250   204.0       0       0
ring_spec=((0, 1), (1500.0, 11))                      0.9682   661/1000    415.3    19176   189.0       0       0
ring_spec=((0, 1), (1600.0, 12))                      0.9708   688/1000    438.4    20571   191.2       0       0
墙钟 8 s | 1000 局/配方 | 9 配方
