配方                                                       清除率         全清      s/源      移动m      检测     扫描s     收尾s
ring_spec=((0, 1), (970.0, 5), (1800.0, 8))           0.9945   933/1000    453.2    21824   202.5       0       0
ring_spec=((0, 1), (970.0, 6), (1800.0, 9))           0.9981   976/1000    457.3    21822   216.8       0       0
ring_spec=((0, 1), (970.0, 4), (1800.0, 7))           0.9853   829/1000    459.6    22189   189.7       0       0
ring_spec=((0, 1), (970.0, 6), (1800.0, 11))          0.9993   991/1000    464.9    22035   229.7       0       0
ring_spec=((0, 1), (970.0, 8), (1850.0, 12))          1.0000  1000/1000    482.2    22571   247.6       0       0
ring_spec=((0, 1), (970.0, 8), (1850.0, 15))          1.0000  1000/1000    486.9    22458   263.0       0       0
ring_spec=((0, 1), (900.0, 6), (1500.0, 8), (1850.0,  0.9999   999/1000    487.4    21760   285.6       0       0
ring_spec=((0, 1), (600.0, 6), (1200.0, 10), (1800.0  0.9981   976/1000    504.1    21986   307.9       0       0
ring_spec=((0, 1), (970.0, 4), (1800.0, 5))           0.9620   599/1000    446.3    21179   171.9       0       0
墙钟 15 s | 1000 局/配方 | 9 配方
